Country,health,military,GDP
Afghanistan,2.46,0.92,73.32
Albania,1.60,0.58,38.65
Algeria,29.82,27.34,431.71
Angola,4.92,2.30,196.06
Argentina,46.50,5.57,933.13
Armenia,1.07,1.76,36.70
Australia,64.98,25.11,1179.07
Austria,25.22,3.88,454.05
Azerbaijan,3.60,7.71,135.00
Bahamas,0.34,0.00,11.98
Bahrain,1.55,2.57,68.14
Bangladesh,13.31,12.71,975.04
Barbados,0.25,0.00,3.63
Belarus,9.13,2.13,173.22
Belgium,38.15,6.47,553.34
Belize,0.22,0.03,2.30
Benin,1.29,0.24,41.42
Bhutan,0.46,0.00,7.64
Bolivia,8.66,1.50,87.11
Bosnia and Herzegovina,0.00,0.46,50.57
Botswana,3.36,1.10,33.96
Brazil,190.47,37.24,2899.81
Brunei,1.19,0.87,24.72
Bulgaria,6.60,2.58,152.49
Burkina Faso,2.66,1.39,44.12
Burundi,0.45,0.17,8.23
Cabo Verde,0.27,0.00,3.32
Cambodia,1.56,1.67,69.00
Cameroon,3.19,1.03,96.50
Canada,0.00,24.09,1808.01
Central African Republic,0.10,0.08,4.39
Chad,0.71,0.68,23.09
Chile,26.95,9.74,459.39
China,887.55,431.68,23542.12
Colombia,37.17,25.65,691.06
Comoros,0.07,0.00,2.59
Congo (Dem. Rep.),2.77,0.58,99.14
Congo (Rep.),0.83,0.54,17.25
Costa Rica,7.33,0.00,101.93
Cote d'Ivoire,5.03,1.83,139.41
Croatia,4.73,3.31,113.01
Cuba,0.00,0.00,0.00
Cyprus,2.10,0.73,33.88
Czech Republic,18.17,6.11,401.49
Denmark,23.15,4.67,312.96
Djibouti,0.20,0.20,5.01
Dominican Republic,9.56,1.35,196.17
Ecuador,7.85,4.66,177.37
Egypt,31.34,16.44,1215.95
El Salvador,1.94,0.79,54.64
Equatorial Guinea,0.00,0.31,23.61
Eritrea,0.00,0.00,0.00
Estonia,2.67,1.09,47.02
Eswatini,0.52,0.18,9.77
Ethiopia,14.14,1.47,263.33
Fiji,0.50,0.16,9.25
Finland,17.02,5.51,248.67
France,164.93,59.34,2825.86
Gabon,1.03,0.55,30.77
"Gambia, The",0.15,0.04,5.32
Georgia,2.21,0.96,54.21
Germany,218.94,58.85,4122.32
Ghana,6.94,0.88,170.64
Greece,11.29,12.14,290.41
Guatemala,5.02,0.68,146.45
Guinea,0.78,0.53,34.06
Guinea-Bissau,0.10,0.07,3.60
Guyana,0.78,0.17,16.67
Haiti,0.54,0.06,32.26
Honduras,3.69,0.92,52.67
Hungary,15.05,5.32,305.09
Iceland,1.51,0.00,18.40
India,416.17,247.21,8638.11
Indonesia,92.25,22.59,3131.36
Iran,45.19,28.92,1183.88
Iraq,18.38,8.91,362.88
Ireland,17.43,1.36,494.87
Israel,23.80,20.14,345.44
Italy,105.43,37.72,2333.93
Jamaica,1.64,0.38,25.12
Japan,157.71,55.01,4911.30
Jordan,3.06,5.14,94.18
Kazakhstan,14.13,4.29,476.28
Kenya,12.07,2.81,236.55
Korea (Dem. People’s Rep.),0.00,0.00,0.00
Korea (Rep.),0.00,63.39,2219.38
Kosovo,0.93,0.20,19.79
Kuwait,12.55,12.81,166.14
Kyrgyzstan,1.79,0.54,29.89
Laos,1.30,0.12,56.85
Latvia,2.53,1.36,55.78
Lebanon,1.66,2.77,61.45
Lesotho,0.46,0.07,4.74
Liberia,0.20,0.07,7.06
Libya,0.00,22.93,125.01
Lithuania,4.24,2.20,102.46
Luxembourg,2.77,0.48,72.60
Macedonia,2.14,0.52,31.33
Madagascar,1.31,0.33,40.68
Malawi,0.86,0.28,28.51
Malaysia,34.61,9.35,839.66
Maldives,0.37,0.00,8.65
Mali,1.75,1.31,43.40
Malta,1.07,0.12,21.76
Mauritania,0.46,0.58,23.27
Mauritius,1.18,0.04,24.41
Mexico,102.77,16.43,2296.48
Moldova,2.34,0.15,34.15
Mongolia,1.93,0.26,36.80
Montenegro,0.00,0.22,12.53
Morocco,19.00,11.77,250.59
Mozambique,2.46,0.59,36.24
Myanmar,4.68,7.23,204.85
Namibia,2.23,0.69,20.17
Nepal,5.05,1.54,108.50
Netherlands,53.32,14.16,927.74
New Zealand,13.42,3.04,205.36
Nicaragua,1.79,0.23,36.61
Niger,1.15,0.55,28.26
Nigeria,0.00,10.19,1040.30
Norway,27.16,6.54,321.57
Oman,8.16,11.07,131.47
Pakistan,30.21,46.19,1128.45
Panama,4.94,0.00,121.42
Papua New Guinea,0.69,0.14,36.07
Paraguay,3.03,0.89,87.92
Peru,17.92,4.71,399.31
Philippines,35.77,9.57,876.49
Poland,59.93,27.53,1210.82
Portugal,16.14,7.15,321.89
Qatar,8.07,11.99,229.41
Romania,19.73,11.52,558.54
Russia,190.88,166.48,3722.93
Rwanda,1.15,0.47,28.52
Saudi Arabia,124.48,105.12,1364.42
Senegal,3.24,1.04,54.71
Serbia,4.85,2.82,127.58
Sierra Leone,1.19,0.08,12.19
Singapore,14.49,17.22,546.54
Slovakia,6.82,2.93,161.84
Slovenia,4.16,1.03,79.03
Solomon Islands,106.09,0.00,725.97
Somalia,0.00,0.00,1.70
South Africa,1.20,0.00,18.19
South Sudan,12.14,18.66,757.31
Spain,75.37,24.72,1702.96
Sri Lanka,5.50,5.34,274.07
Sudan,0.00,1.75,170.64
Suriname,0.45,0.00,8.53
Sweden,42.22,7.06,503.29
Switzerland,29.94,4.38,581.41
Syria,0.00,0.00,0.00
Taiwan,0.00,0.00,0.00
Tajikistan,2.17,0.38,35.50
Tanzania,5.25,1.70,152.37
Thailand,36.31,16.13,1170.69
Timor-Leste,0.36,0.06,4.98
Togo,0.73,0.33,17.31
Trinidad and Tobago,1.41,0.30,32.61
Tunisia,9.22,3.56,113.19
Turkiye,114.02,54.85,2488.89
Turkmenistan,2.88,0.00,89.42
Uganda,2.74,2.49,97.62
Ukraine,29.14,17.29,489.15
United Arab Emirates,24.29,35.06,566.75
United Kingdom,159.56,68.61,2858.02
United States,1027.78,729.12,19175.39
Uruguay,3.67,1.76,72.68
Uzbekistan,13.29,9.72,247.05
Venezuela,0.00,0.00,0.00
Vietnam,41.93,20.65,969.78
Yemen,0.00,0.00,0.00
Zambia,2.31,0.81,59.29
Zimbabwe,1.30,0.00,32.28
