Country,health,military,GDP
Mauritius,4.61,0.17,95.22
Mexico,4.25,0.68,95.07
Moldova,6.39,0.41,93.20
Mongolia,4.94,0.66,94.40
Montenegro,0.00,1.74,98.26
Morocco,6.75,4.18,89.06
Mozambique,6.26,1.51,92.23
Myanmar,2.16,3.33,94.51
Namibia,9.64,3.00,87.36
Nepal,4.39,1.34,94.27
Netherlands,5.36,1.42,93.22
New Zealand,6.05,1.37,92.58
Nicaragua,4.63,0.60,94.77
Niger,3.84,1.84,94.32
Nigeria,0.00,0.97,99.03
Norway,7.64,1.84,90.51
Oman,5.41,7.34,87.24
Pakistan,2.51,3.83,93.66
Panama,3.91,0.00,96.09
Papua New Guinea,1.87,0.38,97.75
Paraguay,3.30,0.97,95.72
Peru,4.25,1.12,94.64
Philippines,3.88,1.04,95.08
Poland,4.62,2.12,93.26
Portugal,4.68,2.07,93.25
Qatar,3.23,4.81,91.96
Romania,3.34,1.95,94.70
Russia,4.68,4.08,91.24
Rwanda,3.82,1.55,94.63
Saudi Arabia,7.81,6.59,85.60
Senegal,5.50,1.76,92.74
Serbia,3.58,2.09,94.33
Sierra Leone,8.81,0.61,90.58
Singapore,2.51,2.98,94.52
Slovakia,3.97,1.71,94.32
Slovenia,4.94,1.22,93.85
Solomon Islands,12.75,0.00,87.25
Somalia,0.00,0.00,100.00
South Africa,6.19,,93.81
South Sudan,1.54,2.37,96.09
Spain,4.18,1.37,94.45
Sri Lanka,1.93,1.88,96.19
Sudan,0.00,1.02,98.98
Suriname,5.01,0.00,94.99
Sweden,7.64,1.28,91.08
Switzerland,4.86,0.71,94.43
Syria,0.00,4.10,95.90
Taiwan,0.00,1.74,98.26
Tajikistan,5.71,1.01,93.28
Tanzania,3.30,1.07,95.63
Thailand,2.97,1.32,95.71
Timor-Leste,6.73,1.14,92.13
Togo,3.99,1.78,94.23
Trinidad and Tobago,4.10,0.89,95.01
Tunisia,7.32,2.83,89.85
Turkiye,4.29,2.06,93.65
Turkmenistan,3.12,0.00,96.88
Uganda,2.67,2.42,94.91
Ukraine,5.44,3.23,91.33
United Arab Emirates,3.88,5.60,90.52
United Kingdom,5.17,2.22,92.61
United States,4.91,3.48,91.61
Uruguay,4.70,2.26,93.04
Uzbekistan,4.92,3.60,91.48
Venezuela,1.34,0.50,98.16
Vietnam,4.06,2.00,93.94
Yemen,0.00,4.00,96.00
Zambia,3.70,1.30,94.99
Zimbabwe,3.87,0.01,96.12
