"indicator","ISO Country code","GDP ($ USD billions PPP) 2018","GDP ($ USD billions PPP) 2019","GDP ($ USD billions PPP) 2020","GDP ($ USD billions PPP) 2021","GDP per capita in $ (PPP) 2018","GDP per capita in $ (PPP) 2019","GDP per capita in $ (PPP) 2020","GDP per capita in $ (PPP) 2021","health expenditure % of GDP 2014","health expenditure % of GDP 2015","health expenditure % of GDP 2016","health expenditure % of GDP 2017","health expenditure % of GDP 2018","health expenditure % of GDP 2019","health expenditure % of GDP 2020","health expenditure % of GDP 2021","health expenditure % of GDP 2021 or latest","health expenditure per person 2015","health expenditure per person 2018","health expenditure per person 2019","unemployment (%) 2018","unemployment (%) 2021","Military Spending as % of GDP 2021","Military Spending as % of GDP 2019"
"Congo (Rep.)","COG","20.60","20.60","19.30","18.60","4,022","3,987","3,689","3,617","3.18","3.28","5.24","4.45","3","3.58","4.45","0","4.45","203","49.50","48.60","11.20","23.01","2.91%","0.70%"
"Costa Rica","CRI","103.40","105.90","101.60","109.30","21,319","22,632","22,244","23,387","6.68","6.87","6.89","7.07","6.77","6.80","6.71","0","6.71","1,286","909.70","921.60","9","17.95","0.00%","0.00%"
"Cote d'Ivoire","CIV","126.20","134","136.70","146.30","5,154","5,433","5,465","5,940","3.31","3.49","3.97","3.80","3.24","3.72","3.44","0","3.44","190","72.20","75.10","9.30","3.47","1.25%","1.10%"
"Croatia","HRV","115.20","119.30","109.60","121.10","28,877","30,544","28,780","33,801","0","0","0","3.85","3.91","0","0","0","0","1,656","1,014.2","1,040.1","13.50","8.68","2.74%","1.70%"
"Cuba","CUB","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","986.90","1,031.9","2.90","2.76","0.00%","2.90%"
"Cyprus","CYP","34.80","36.60","34.80","36.70","40,559","42,339","39,593","42,556","6.44","6.33","6.15","5.72","0","0","0","0","0","2,137","1,981.8","1,996.5","11.70","6.13","1.99%","1.60%"
"Czech Republic","CZE","424.50","437.30","412","425.80","41,135","42,847","41,608","44,261","3.97","5.75","5.55","3.81","4.27","0","0","0","4.27","2,470","1,765.6","1,844.2","4","2.89","1.43%","1.20%"
"Denmark","DNK","325.50","332.40","325.50","340.80","57,483","58,701","60,230","64,651","7.63","0","0","7.75","6.79","0","0","0","6.79","5,083","6,216.8","6,003.3","6.10","4.80","1.37%","1.30%"
"Djibouti","DJI","4.90","5.10","5.20","5.40","5,181","5,482","5,533","5,926","0","3.59","3.92","3.75","3.63","0","0","0","3.63","147","71.10","61.80","6.60","28.39","0","3.70%"
"Dominican Republic","DOM","188.20","197.70","184.40","207.10","18,135","19,190","17,934","20,769","3.96","3.82","3.85","3.92","3.93","4.04","4.62","0","4.62","873","461.50","491.10","14.40","8.50","0.65%","0.70%"
"Ecuador","ECU","197.50","197.50","182.20","189.90","11,838","11,850","10,890","11,661","5.26","5","4.36","4.61","4.62","4.23","4.13","0","4.13","980","495.20","486.50","5.40","6.43","2.46%","2.30%"
"Egypt","EGY","1,118.7","1,180.9","1,223.0","1,263.7","11,638","12,260","12,606","13,316","4.25","3.93","4.05","4.02","3.98","2.61","2.48","0","2.48","495","125.50","149.80","12","9.33","1.30%","1.20%"
"El Salvador","SLV","55.30","56.60","51.80","57.40","8,822","9,147","8,420","9,669","3.82","3.91","3.83","3.73","3.61","3.39","0","0","3.39","578","288.50","300.10","6.30","5.94","1.37%","1.20%"
"Equatorial Guinea","GNQ","26.70","25.20","24.20","23.90","20,873","19,385","18,158","18,127","0","0","0","0","0","0","0","0","0","790","310.60","254.90","7.30","9.24","1.31%","1.10%"
"Eritrea","ERI","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","56","24","25.30","7.30","8.05","0.00%","0.00%"
"Estonia","EST","46.40","48.30","46.90","50.80","36,249","37,851","37,645","42,192","4.39","5.14","5.16","4.96","5.26","0","0","0","5.26","1,887","1,552.6","1,598.8","6.90","6.33","2.16%","2.10%"
"Eswatini","SWZ","9.70","9.90","9.80","10.50","8,725","9,018","8,865","9,816","7.07","5.36","5.41","6.14","5.68","5.65","5.34","5","5","0","298.10","264.10","25.30","25.76","1.70%","1.80%"
"Ethiopia","ETH","229.80","249","264.10","278.90","2,154","2,315","2,423","2,600","4.60","4.74","5.06","5.65","5.07","0","0","0","5.07","66","24.30","26.70","5.70","3.69","0.53%","0.60%"
"Fiji","FJI","12.20","12.20","10.30","9.90","14,177","14,262","12,158","12,060","4.27","4.81","4.84","4.65","4.84","5.07","0","0","5.07","331","216.10","235.70","7.90","5.24","1.65%","1.60%"
"Finland","FIN","265","268.30","262.10","271.20","49,581","50,322","50,937","55,007","7.10","7.03","6.85","6.36","6.28","0","0","0","6.28","3,669","4,515.7","4,450.3","9","7.53","2.03%","1.50%"
"France","FRA","3,038.6","3,094.6","2,851.6","3,050.1","46,577","49,072","46,991","50,729","5.71","5.64","5.52","5.45","5.41","0","0","0","5.41","4,542","4,657.8","4,491.7","10","8.06","1.95%","1.90%"
"Gabon","GAB","31.20","32.50","31.90","32.40","15,096","15,577","15,105","15,598","2.67","2.99","2.66","3.33","2.93","2.73","3.18","0","3.18","481","218.50","215","18.50","22.26","1.71%","1.60%"
"Gambia, The","GMB","4.90","5.20","5.20","5.50","2,210","2,320","2,277","2,434","2.23","2.16","2.02","2.46","2.37","2.79","2.76","0","2.76","0","35.80","29.70","29.70","11.21","0.75%","0.80%"
"Georgia","GEO","53.10","55.80","52","57.40","14,594","15,622","14,731","16,997","3","3.16","3.59","3.57","3.52","3.81","3.85","0","3.85","718","312.70","291.10","11.60","10.66","1.67%","2.00%"
"Germany","DEU","4,434.4","4,481.2","4,276.4","4,400.1","55,235","55,653","54,845","57,928","4.92","4.86","4.84","4.87","4.98","0","0","0","4.98","5,357","5,482.0","5,440.3","4.30","3.54","1.34%","1.30%"
"Ghana","GHA","158.20","168.50","169.40","178.50","5,442","5,774","5,750","6,178","4.40","4.43","4.39","3.53","3.89","0","0","0","3.89","249","76.80","75.30","5.80","4.70","0.49%","0.40%"
"Greece","GRC","312.80","318.40","289.70","313.80","29,618","30,356","27,949","31,295","3.71","3.66","3.53","3.48","3.60","0","0","0","3.60","2,204","1,572.7","1,500.6","23.90","14.80","3.87%","2.60%"
"Guatemala","GTM","138.30","143.70","141.50","152.10","8,664","9,019","8,853","9,769","2.99","3.03","2.94","2.95","3.14","3.20","3.30","0","3.30","444","259.60","271","2.40","3.57","0.44%","0.40%"
"Guinea","GIN","31","32.80","34.30","35.40","2,559","2,675","2,754","2,879","2.42","2.52","2.54","2.32","2.38","1.85","2.20","0","2.20","57","35.70","43","6.80","6.34","1.48%","2.00%"
"Guinea-Bissau","GNB","3.60","3.70","3.60","3.80","1,947","2,021","1,949","2,057","2.20","2.30","2.30","2.20","2.14","2.95","2.71","0","2.71","100","61.20","62.60","6.50","6.76","1.78%","1.40%"
"Guyana","GUY","9.70","10.20","14.70","17.60","12,776","13,634","19,703","24,494","4.36","3.90","4.74","4.66","4.45","0","0","0","4.45","336","301.40","325.90","11.40","16.42","0.96%","1.70%"
"Haiti","HTI","35.20","34.60","33.50","32.90","3,241","3,203","3,095","3,127","1.75","1.86","1.40","1.50","1.63","0","0","0","1.63","120","63.10","57","13.20","15.73","0.19%","0.00%"
"Honduras","HND","54.50","55.90","50.90","57.30","5,816","5,978","5,420","6,253","7.09","6.41","5.16","4.94","6.06","4.91","6.44","0","6.44","353","180.90","187.60","6.30","8.51","1.61%","1.60%"
"Hungary","HUN","304.20","318.10","303.90","325.50","62,514","62,103","58,980","65,973","4.60","4.49","4.61","4.61","4.62","0","0","0","4.62","1,912","1,074.0","1,062.4","5.20","4.12","1.64%","1.20%"
"Iceland","ISL","20","20.50","19.20","19.90","31,913","33,515","33,274","36,753","7.64","7.46","7.43","7.58","7.56","0","0","0","7.56","4,116","6,565.9","6,275.0","3.80","5.40","0.00%","0.00%"
"India","IND","8,811.1","9,140.5","8,537.6","9,301.5","6,670","6,972","6,525","7,334","0","4.11","4.25","4.31","4.36","4.41","4.47","0","4.47","238","60.30","63.70","3.50","5.98","2.66%","2.40%"
"Indonesia","IDN","3,043.9","3,196.7","3,130.6","3,246.2","11,643","12,311","12,072","12,904","3.29","3.58","3.50","2.67","3","2.84","0","0","2.84","369","111.70","120.10","5.60","4.41","0.70%","0.70%"
"Iran","IRN","1,252.5","1,235.7","1,257.5","0","15,677","15,533","15,791","15,800","2.80","2.80","3.37","3.79","3.96","3.66","3.59","0","3.59","1,262","484.30","470.40","11.30","11.46","2.30%","2.30%"
"Iraq","IRQ","405.70","428.10","379.60","390.20","10,808","11,349","9,954","10,409","0","4.49","4.71","0","0","0","0","0","0","481","239.40","253.30","16","14.19","2.28%","3.50%"
"Ireland","IRL","407.50","427.60","452.60","513.70","84,556","87,380","93,350","106,456","4.88","3.76","3.74","3.51","3.39","0","0","0","3.39","5,335","5,484.2","5,428.6","8.10","6.63","0.26%","0.30%"
"Israel","ISR","354.50","367.80","359.90","389.40","39,906","40,004","39,489","43,722","5.77","5.86","5.86","6.06","6.11","0","0","0","6.11","2,819","3,329.2","3,456.4","5.60","5.05","5.17%","5.30%"
"Italy","ITA","2,540.5","2,553.2","2,322.8","2,477.1","43,036","44,376","41,988","45,936","4.06","4.07","3.82","4.04","4.26","0","0","0","4.26","3,351","3,000.7","2,905.5","11.50","9.83","1.52%","1.40%"
"Jamaica","JAM","28.60","28.80","25.90","27.10","9,967","10,190","9,241","10,026","6.02","5.46","5.31","5.26","5.41","5.16","5.62","6.03","6.03","511","319.90","327.40","13.30","9.18","1.41%","1.60%"
"Japan","JPN","5,293.0","5,280.3","5,042.3","5,124.0","42,116","42,283","42,100","42,940","3.55","0","3.15","3.13","3.08","0","0","0","3.08","4,405","4,256.1","4,360.5","3.10","2.80","1.07%","0.90%"
"Jordan","JOR","99.80","101.70","100.20","102.40","10,253","10,496","10,354","10,952","3.80","3.45","3.45","3.23","2.98","2.99","0","0","2.99","568","335.20","334","13.20","19.25","5.02%","4.70%"
"Kazakhstan","KAZ","466.90","487.90","475.70","494.70","26,155","27,464","26,750","28,600","3.42","2.79","2.98","2.75","2.62","2.86","0","0","2.86","903","275.90","273","5.20","4.90","0.87%","1.10%"
"Kenya","KEN","223","234.40","233.90","251.40","4,443","4,647","4,587","5,024","4.72","4.74","4.90","4.96","5.11","4.97","5.08","4.80","4.80","157","73.50","83.40","11","5.74","1.12%","1.20%"
"Korea (Dem. People’s Rep.)","PRK","0","0","0","0","2,198","2,192","2,172","2,182","11.23","9.86","10.09","10.86","11.97","12.39","0","0","12.39","0","0","0","4.30","2.59","0.00%","0.00%"
"Korea (Rep.)","KOR","2,164.8","2,213.4","2,194.5","2,282.8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2,543.6","2,624.5","3.70","3.53","2.78%","2.70%"
"Kosovo","KOS","19.30","20.20","19.20","20.90","43,044","42,998","45,226","46,918","0","0","4.33","4.33","4.46","0","0","0","4.46","0","0","0","0","0","0.94%","0.80%"
"Kuwait","KWT","211.30","210.10","191.50","190","52,291","52,055","47,303","47,000","4.40","4.77","5.85","6.37","6.39","6.49","6.55","0","6.55","2,978","1,733.8","1,758.7","2.40","3.71","6.69%","5.60%"
"Kyrgyzstan","KGZ","32.50","33.90","31.10","32.20","5,256","5,480","4,985","5,288","5.53","5.99","6.59","6.03","5.55","5.37","0","0","5.55","287","65.70","62.10","7.70","9.10","1.67%","1.50%"
"Laos","LAO","53.60","56.50","56.80","58.30","7,774","8,220","8,238","8,674","2.94","0","0","2.52","2.37","2.30","2.23","0","2.23","0","57.70","68.20","1.50","1.26","0.00%","0.20%"
"Latvia","LVA","57.90","59.40","57.10","59.70","30,877","31,883","31,425","34,469","5.28","5.28","4.66","4.37","4.24","0","0","0","4.24","1,429","1,101.5","1,166.8","9.90","7.60","2.28%","2.00%"
"Lebanon","LBN","106.70","99.40","73.60","65.90","15,933","15,105","11,377","10,691","2","2.10","2.12","2.13","2.52","2.59","0","0","2.52","1,117","695.10","663.10","6.80","14.49","0.00%","4.20%"
"Lesotho","LSO","5.50","5.60","5.20","5.30","2,677","2,768","2,569","2,682","7.20","9","7.76","8.16","7.29","7.99","7.67","8.70","8.70","251","124.70","124.20","27.40","24.60","1.29%","1.50%"
"Liberia","LBR","7.40","7.30","7","7.30","1,581","1,532","1,468","1,553","2.20","2.17","2.15","2.66","2.50","2.27","2.31","2.69","2.69","128","61.20","52.60","4","4.09","0.95%","0.50%"
"Libya","LBY","166.70","148","112.60","147.90","25,557","22,764","17,286","23,357","0","0","0","0","0","0","0","0","0","0","0","0","19.20","19.58","0.00%","15.50%"
"Lithuania","LTU","99.30","103.80","103.70","108.90","36,376","38,541","38,881","42,665","4.49","4.23","4","3.81","3.89","0","0","0","3.89","1,875","1,249.0","1,370.0","9.20","7.90","2.02%","2.00%"
"Luxembourg","LUX","69.90","72.20","71","75.80","116,966","117,342","117,846","134,754","3.86","3.77","0","3.49","3.65","0","0","0","3.65","6,382","6,227.1","6,220.7","5.90","5.23","0.63%","0.60%"
"Macedonia","MKD","33.50","34.80","32.70","34","16,796","17,546","16,720","17,918","2.05","3","3.10","2.71","2.73","3.06","6.30","0","6.30","857","399.10","436.90","26.70","16.20","1.54%","1.20%"
"Madagascar","MDG","41.80","43.70","40.50","42.30","1,630","1,687","1,544","1,635","2.38","2.21","2.69","2.70","2.84","2.99","3.10","0","3.10","77","22.30","19.80","2.10","2.59","0.77%","0.60%"
"Malawi","MWI","27.20","28.60","28.90","29.70","1,532","1,602","1,591","1,658","4.84","5.61","4.75","4.03","3.32","3.71","2.91","0","2.91","108","37.40","30.40","6.70","7.02","0.95%","0.90%"
"Malaysia","MYS","869.50","908.10","856.80","883.60","28,236","29,621","27,921","29,617","5.21","4.89","4.75","4.68","4.48","4.16","3.92","0","3.92","1,064","426.50","436.60","3.30","4.61","1.06%","1.00%"
"Maldives","MDV","9.70","10.40","6.90","9","19,243","20,334","13,442","18,232","3.09","3.89","3.69","3.89","3.91","4.12","0","0","4.12","1,514","786.40","854.40","3.20","6.08","0.00%","0.00%"
"Mali","MLI","43.60","45.60","45.10","46.50","2,338","2,420","2,348","2,447","3.65","3.80","3.09","3.79","3.91","3.48","3.76","0","3.76","118","33.40","34.30","8.10","7.72","2.82%","2.70%"
"Malta","MLT","21.60","22.90","21","22.90","45,569","47,408","43,243","47,714","7","5.02","5.08","4.65","0","0","0","0","0","3,471","2,753.5","2,531.9","5.30","3.50","0.51%","0.60%"
