"indicator","ISO Country code","GDP ($ USD billions PPP) 2018","GDP ($ USD billions PPP) 2019","GDP ($ USD billions PPP) 2020","GDP ($ USD billions PPP) 2021","GDP per capita in $ (PPP) 2018","GDP per capita in $ (PPP) 2019","GDP per capita in $ (PPP) 2020","GDP per capita in $ (PPP) 2021","health expenditure % of GDP 2014","health expenditure % of GDP 2015","health expenditure % of GDP 2016","health expenditure % of GDP 2017","health expenditure % of GDP 2018","health expenditure % of GDP 2019","health expenditure % of GDP 2020","health expenditure % of GDP 2021","health expenditure % of GDP 2021 or latest","health expenditure per person 2015","health expenditure per person 2018","health expenditure per person 2019","unemployment (%) 2018","unemployment (%) 2021","Military Spending as % of GDP 2021","Military Spending as % of GDP 2019"
"Romania","ROU","555.50","578.70","557","589.80","29,342","31,867","32,202","35,414","3.12","3.11","2.98","3.10","3.34","0","0","0","3.34","1,090","687.20","738.60","6.40","5.17","1.95%","2.00%"
"Russia","RUS","3,914.0","4,000.0","3,892.7","4,080.3","28,821","30,068","29,916","32,803","4.01","3.83","3.76","4.69","4.68","0","0","0","4.68","1,414","609","653.40","5.70","5.01","4.08%","3.90%"
"Rwanda","RWA","25.70","28.10","27.20","30.10","2,139","2,322","2,214","2,494","4.20","3.65","3.44","3.13","3.07","3.24","3.33","3.82","3.82","143","52.30","51.40","2.50","1.61","1.55%","1.20%"
"Saudi Arabia","SAU","1,605.3","1,610.6","1,544.0","1,594.0","48,768","48,984","46,778","49,551","0","0","8.51","8.02","7.09","6.79","7.81","0","7.81","3,121","1,341.5","1,316.3","5.50","7.36","6.59%","8.00%"
"Senegal","SEN","52.50","54.90","55.60","59","3,389","3,510","3,504","3,769","5.72","5.46","5.11","4.62","4.86","5.35","5.50","0","5.50","97","61.80","59.10","9.50","3.72","1.76%","1.50%"
"Serbia","SRB","121.90","127.10","125.90","135.30","17,718","18,822","19,094","21,432","3.93","3.79","3.63","3.71","3.58","3.62","0","0","3.58","1,324","617.10","641","16.50","11.81","2.09%","2.20%"
"Sierra Leone","SLE","12.70","13.30","13.10","13.50","1,694","1,777","1,727","1,816","2.66","3.06","3.06","4.66","6.99","7.45","8.81","0","8.81","256","44.30","46.20","3","5.33","0.61%","0.70%"
"Singapore","SGP","554.50","560.60","537.30","578.30","100,686","102,431","99,681","116,486","2.92","2.86","2.87","2.77","2.86","2.74","2.51","0","2.51","3,681","2,667.7","2,632.7","1.80","3.62","2.98%","3.20%"
"Slovakia","SVK","169.70","174.10","166.50","171.60","31,215","31,967","31,356","33,010","4.23","4.59","3.91","3.94","3.97","0","0","0","3.97","2,062","1,299.9","1,342.1","10","6.74","1.71%","1.80%"
"Slovenia","SVN","78.80","81.30","77.90","84.20","38,962","40,671","39,725","43,625","5.29","4.91","4.79","4.78","4.94","0","0","0","4.94","2,734","2,169.6","2,219.1","8.70","4.42","1.22%","1.10%"
